encoding,context,length,winner,winner_mean_tokens,runner_up,runner_up_mean_tokens,delta_to_runner_up
cl100k_base,bare,3,none,3.4930,underscore,3.9280,0.4350
cl100k_base,bare,5,none,5.9420,underscore,6.8590,0.9170
cl100k_base,bare,8,none,9.5580,underscore,11.3380,1.7800
cl100k_base,bare,10,none,12.0800,underscore,14.1850,2.1050
cl100k_base,bare,12,none,14.5290,underscore,17.0260,2.4970
cl100k_base,json_object,3,none,12.4930,underscore,12.9280,0.4350
cl100k_base,json_object,5,none,14.9420,underscore,15.8590,0.9170
cl100k_base,json_object,8,none,18.5580,underscore,20.3380,1.7800
cl100k_base,json_object,10,none,21.0800,underscore,23.1850,2.1050
cl100k_base,json_object,12,none,23.5290,underscore,26.0260,2.4970
cl100k_base,url_path,3,none,12.3200,underscore,12.8130,0.4930
cl100k_base,url_path,5,none,14.7670,underscore,15.7330,0.9660
cl100k_base,url_path,8,none,18.3540,underscore,20.2010,1.8470
cl100k_base,url_path,10,none,20.8740,underscore,23.0400,2.1660
cl100k_base,url_path,12,none,23.3230,underscore,25.8860,2.5630
cl100k_base,url_query,3,none,18.4400,underscore,18.9080,0.4680
cl100k_base,url_query,5,none,20.8860,underscore,21.8340,0.9480
cl100k_base,url_query,8,none,24.4900,underscore,26.3020,1.8120
cl100k_base,url_query,10,none,27.0140,underscore,29.1610,2.1470
cl100k_base,url_query,12,none,29.4740,underscore,32.0040,2.5300
cl100k_base,markdown_code,3,none,8.4930,underscore,8.9280,0.4350
cl100k_base,markdown_code,5,none,10.9420,underscore,11.8590,0.9170
cl100k_base,markdown_code,8,none,14.5580,underscore,16.3380,1.7800
cl100k_base,markdown_code,10,none,17.0800,underscore,19.1850,2.1050
cl100k_base,markdown_code,12,none,19.5290,underscore,22.0260,2.4970
cl100k_base,logfmt,3,none,27.4400,underscore,27.9080,0.4680
cl100k_base,logfmt,5,none,29.8860,underscore,30.8340,0.9480
cl100k_base,logfmt,8,none,33.4900,underscore,35.3020,1.8120
cl100k_base,logfmt,10,none,36.0140,underscore,38.1610,2.1470
cl100k_base,logfmt,12,none,38.4740,underscore,41.0040,2.5300
o200k_base,bare,3,none,3.4720,underscore,4.1240,0.6520
o200k_base,bare,5,none,5.9480,underscore,7.1910,1.2430
o200k_base,bare,8,none,9.5450,underscore,11.9200,2.3750
o200k_base,bare,10,none,12.0620,underscore,14.9090,2.8470
o200k_base,bare,12,none,14.4970,underscore,17.9580,3.4610
o200k_base,json_object,3,none,12.4720,underscore,13.1240,0.6520
o200k_base,json_object,5,none,14.9480,underscore,16.1910,1.2430
o200k_base,json_object,8,none,18.5450,underscore,20.9200,2.3750
o200k_base,json_object,10,none,21.0620,underscore,23.9090,2.8470
o200k_base,json_object,12,none,23.4970,underscore,26.9580,3.4610
o200k_base,url_path,3,none,12.3070,underscore,13.0180,0.7110
o200k_base,url_path,5,none,14.7810,underscore,16.0760,1.2950
o200k_base,url_path,8,none,18.3720,underscore,20.8030,2.4310
o200k_base,url_path,10,none,20.8710,underscore,23.7880,2.9170
o200k_base,url_path,12,none,23.3000,underscore,26.8260,3.5260
o200k_base,url_query,3,none,19.4320,underscore,20.1100,0.6780
o200k_base,url_query,5,none,21.8940,underscore,23.1680,1.2740
o200k_base,url_query,8,none,25.4890,underscore,27.8870,2.3980
o200k_base,url_query,10,none,28.0100,underscore,30.8910,2.8810
o200k_base,url_query,12,none,30.4410,underscore,33.9350,3.4940
o200k_base,markdown_code,3,none,8.4720,underscore,9.1240,0.6520
o200k_base,markdown_code,5,none,10.9480,underscore,12.1910,1.2430
o200k_base,markdown_code,8,none,14.5450,underscore,16.9200,2.3750
o200k_base,markdown_code,10,none,17.0620,underscore,19.9090,2.8470
o200k_base,markdown_code,12,none,19.4970,underscore,22.9580,3.4610
o200k_base,logfmt,3,none,27.4320,underscore,28.1100,0.6780
o200k_base,logfmt,5,none,29.8940,underscore,31.1680,1.2740
o200k_base,logfmt,8,none,33.4890,underscore,35.8870,2.3980
o200k_base,logfmt,10,none,36.0100,underscore,38.8910,2.8810
o200k_base,logfmt,12,none,38.4410,underscore,41.9350,3.4940
