word,rank,zipf,frequency,char_length,vowel_count,max_repeated_run,max_consonant_run,confusable_count,confusable_ratio,pronounceable,cl100k_tokens,o200k_tokens,shared_single_token,commonness_score,tokenizer_fit_score,readability_score,pronounceability_score,ambiguity_penalty,composite_score
the,1,7.73,0.05370317963702527,3,1,1,2,0,0,false,1,1,true,45,30,10,16,0,101
and,2,7.41,0.025703957827688632,3,1,1,2,0,0,false,1,1,true,42.98,30,10,16,0,98.98
for,3,7.01,0.010232929922807542,3,1,1,1,1,0.33,false,1,1,true,41.54,30,10,16,0,97.54
that,4,7.01,0.010232929922807542,4,1,1,2,0,0,true,1,1,true,40.42,30,24,22,0,116.42
you,5,6.98,0.009549925860214359,3,3,1,0,1,0.33,false,1,1,true,39.51,30,10,16,0,95.51
with,6,6.85,0.00707945784384138,4,1,1,2,1,0.25,true,1,1,true,38.74,30,24,22,0,114.74
this,7,6.82,0.006606934480075957,4,1,1,2,1,0.25,true,1,1,true,38.08,30,24,22,0,114.08
was,8,6.82,0.006606934480075957,3,1,1,1,0,0,false,1,1,true,37.49,30,10,16,0,93.49
are,9,6.74,0.005495408738576248,3,2,1,1,0,0,false,1,1,true,36.96,30,10,16,0,92.96
have,10,6.71,0.005128613839913648,4,2,1,1,0,0,true,1,1,true,36.49,30,24,22,0,112.49
not,11,6.69,0.004897788193684461,3,1,1,1,1,0.33,false,1,1,true,36.05,30,10,16,0,92.05
but,12,6.63,0.004265795188015925,3,1,1,1,0,0,false,1,1,true,35.65,30,10,16,0,91.65
from,13,6.63,0.004265795188015925,4,1,1,2,1,0.25,true,1,1,true,35.28,30,24,22,0,111.28
your,14,6.53,0.003388441561392024,4,3,1,1,1,0.25,true,1,1,true,34.94,30,24,22,0,110.94
all,15,6.52,0.0033113112148259113,3,1,2,2,2,0.67,false,1,1,true,34.62,30,10,16,-6,84.62
his,16,6.51,0.003235936569296281,3,1,1,1,1,0.33,false,1,1,true,34.31,30,10,16,0,90.31
they,17,6.5,0.0031622776601683794,4,2,1,2,0,0,true,1,1,true,34.03,30,24,22,0,110.03
one,18,6.47,0.002951209226666387,3,2,1,1,1,0.33,false,1,1,true,33.76,30,10,16,0,89.76
can,19,6.46,0.002884031503126606,3,1,1,1,0,0,false,1,1,true,33.5,30,10,16,0,89.5
will,20,6.45,0.002818382931264455,4,1,2,2,3,0.75,true,1,1,true,33.26,30,24,22,-6,103.26
just,21,6.43,0.0026915348039269166,4,1,1,2,0,0,true,1,1,true,33.03,30,24,22,0,109.03
like,22,6.41,0.0025703957827688645,4,2,1,1,2,0.5,true,1,1,true,32.8,30,24,22,-6,102.8
about,23,6.4,0.0025118864315095794,5,3,1,1,1,0.2,true,1,1,true,32.59,30,24,22,0,108.59
out,24,6.38,0.00239883291901949,3,2,1,1,1,0.33,false,1,1,true,32.39,30,10,16,0,88.39
what,25,6.38,0.00239883291901949,4,1,1,2,0,0,true,1,1,true,32.19,30,24,22,0,108.19
has,26,6.37,0.0023442288153199225,3,1,1,1,0,0,false,1,1,true,32,30,10,16,0,88
when,27,6.37,0.0023442288153199225,4,1,1,2,0,0,true,1,1,true,31.82,30,24,22,0,107.82
more,28,6.36,0.0022908676527677724,4,2,1,1,1,0.25,true,1,1,true,31.65,30,24,22,0,107.65
were,29,6.34,0.0021877616239495516,4,2,1,1,0,0,true,1,1,true,31.48,30,24,22,0,107.48
who,30,6.34,0.0021877616239495516,3,1,1,2,1,0.33,false,1,1,true,31.31,30,10,16,0,87.31
had,31,6.33,0.0021379620895022326,3,1,1,1,0,0,false,1,1,true,31.15,30,10,16,0,87.15
their,32,6.33,0.0021379620895022326,5,2,1,2,1,0.2,true,1,1,true,31,30,24,22,0,107
there,33,6.31,0.0020417379446695297,5,2,1,2,0,0,true,1,1,true,30.85,30,24,22,0,106.85
